dates,ID,content,rt,like
2022년 4월 9일,John Legere@JohnLegere,Fun fact: Before I decided to study business I wanted to be a gym teacher! What did you want to major in and what did you end up studying in college? Comment below and tag someone who NEEDS to apply to #LegereLegends!,3,33
2022년 4월 9일,John Legere@JohnLegere,Who thought this was a good idea…,4,26
2022년 4월 8일,John Legere@JohnLegere,Which is your favorite?,2,32
2022년 4월 8일,John Legere@JohnLegere,"Climate change is not a joke!
https://mashable.com/article/pinterest-climate-change-misinformation-policy…",5,30
2022년 4월 8일,John Legere@JohnLegere,Wondering how this will affect Amazon's customer base.,3,14
2022년 4월 1일,John Legere@JohnLegere,So who finished Bridgerton Season 2 yet? Spoiler warning if you haven't!,6,39
2022년 4월 1일,John Legere@JohnLegere,"Facebook… this is not a good look for you 
https://theverge.com/2022/3/30/23003168/facebook-tiktok-targeted-victory-news-column-campaign-gop…",11,55
2022년 4월 1일,John Legere@JohnLegere,Let the countdown begin!,7,41
2022년 3월 31일,John Legere@JohnLegere,"I loved seeing the support that Lady Gaga extended to Liza Minnelli at the Oscars, what a beautiful moment!",35,245
2022년 3월 31일,John Legere@JohnLegere,"I am usually one for the slow cooker, but this two-ingredient citrus syrup looks delicious! Start saving your citrus peels now.",3,31
2022년 3월 31일,John Legere@JohnLegere,You all know how much I love Steve Aoki - now we all need to join Aokiverse!,6,31
2022년 3월 30일,John Legere@JohnLegere,Makes me want to graduate from NYU this year!,2,41
2022년 3월 30일,John Legere@JohnLegere,Well...who saw this coming?,5,54
2022년 3월 30일,John Legere@JohnLegere,"May 1st is going to be here before we know it! Don't forget to apply for #LegereLegends for your chance to win a $100,000 scholarship for college. Apply at http://LegereLegends.com",6,24
2022년 3월 30일,John Legere@JohnLegere,Now is the time to buy a vacation home over a starter home!!!,3,31
2022년 3월 29일,John Legere@JohnLegere,The moment we have all been waiting for - chronological Instagram!,3,35
2022년 3월 29일,John Legere@JohnLegere,Would you join?,22,244
2022년 3월 29일,John Legere@JohnLegere,Congratulations to all of yesterday's winners!,7,38
2022년 3월 28일,John Legere@JohnLegere,"Omg I just took delivery of this and I love it… I don’t need fancy art, I need art that makes me happy! This makes me happy !!",22,323
2022년 3월 28일,John Legere@JohnLegere,Excited to see more brands use the metaverse!,4,30
2022년 3월 21일,John Legere@JohnLegere,Sign me up!,3,32
2022년 3월 21일,John Legere@JohnLegere,I want to go to space!!!!,5,56
2022년 3월 20일,John Legere@JohnLegere,"Well, if you swear!",1,25
2022년 3월 20일,John Legere@JohnLegere,In case you've gotten locked out of Facebook...,13,32
2022년 3월 19일,John Legere@JohnLegere,I forgot all about Reading Rainbow!,3,27
2022년 3월 19일,John Legere@JohnLegere,"Hey, high school class of 2022 (and now including international students) - are your senior portraits as good as this one? Today I challenge you to post your senior picture and apply to #LegereLegends at http://legerelegends.com!",8,55
2022년 3월 19일,John Legere@JohnLegere,But will you have to be 21+ to enter?,2,20
2022년 3월 19일,John Legere@JohnLegere,I've already stopped playing...,3,30
2022년 3월 19일,John Legere@JohnLegere,These made me LOL!,2,16
2022년 3월 18일,John Legere@JohnLegere,"Okay, I want one!!",13,100
2022년 3월 18일,John Legere@JohnLegere,Still working on getting to space!,2,24
2022년 3월 18일,John Legere@JohnLegere,Respond with your brackets - I want to see who you have winning the whole thing!,2,10
2022년 3월 17일,John Legere@JohnLegere,Wow - I completely forgot about Google Domains!,1,24
2022년 3월 17일,John Legere@JohnLegere,Join me in my Space!,1,9
2022년 3월 17일,John Legere@JohnLegere,I wonder how the kids feel...,5,41
